Label	Definition
validation dataset [ita]	The validation dataset is the sample of data used to provide an unbiased evaluation of a model fit on the training dataset while tuning model hyperparameters. The evaluation becomes more biased as skill on the validation dataset is incorporated into the model configuration.
validation [ita]	"Validation data is to ""validate"" that your neural network hasn't rather memorized your training data and has thus actually learned some meaningful aspects of the data so that the model can be later used (generalized) to unseen, held-out ""test dataset""."
validation [ncti]	The act of validating; finding or testing the truth of something.
validation [obi]	a planned process with objective to check that the accuracy or the quality of a claim or prediction satisfies some criteria and which is assessed by comparing with independent results
validation [edam]	Validate some data.
rolling [ita]	Rolling is the second of the three areas of the extrusion line. Where the material is homogenised.
twin screw extruder [ita]	Twin screw extruders have two screws, which have more shear and mixing capability than the single screw in a singel screw extruder. Depending on the direction of rotation of the screws, a distinction is made between counter-rotating and co-rotating twin-screw extruders.
Mixing temperature [ita]	Control variable that specifies at which temperature mixing takes place.
Stamp pressure [ita]	Rücksprache DIK
rotation speed (Mixer) [ita]	Control value that specifies at which speed mixing takes place
Mixing time [ita]	Control value that specifies how long mixing takes place
Torque (mixer) [ita]	Measured variable that indicates how high the torque is during mixing.
Torque (mixer) [om]	Torque is the effectiveness of a force to produce rotation about an axis, measured by the product of the force and the perpendicular distance from the line of action of the force to the axis.
Screw speed [ita]	Control variable that indicates how high the speed of the screw is during extrusion.
Screw torque [ita]	Measured variable that indicates how high the torque of the screw is during extrusion.
Tempering screw [ita]	Control variable that indicates how high the temperature of the screw is during extrusion.
Tempering Feed roller [ita]	Control variable that indicates how high the temperature of the feed roller is during extrusion.
Tempering cylinder [ita]	Control variable that indicates how high the temperature of the cylinder is during extrusion.
Cylinder pressure [ita]	Measured variable that indicates how high the pressure in the cylinder is during extrusion.
Tempering Tool [ita]	Control variable that indicates how high the temperature of the tool is during extrusion.
Tool pressure [ita]	Measured variable that indicates how high the pressure in the tool is during extrusion.
Near-surface mass temperature in the tool [ita]	Measured variable that indicates what the temperature is at the surface of the material.
Radial temperature profile of the mixture in the screw channel [ita]	Measured variable that indicates how the temperature is distributed radially over the screw channel.
Outlet surface [ita]	System parameter that indicates how large the outlet surface of the rubber is.
Throughput [ita]	The throughput indicates how many kilograms of rubber are extruded in a given unit of time.
collection of material entities [hsh]	A class of units in the system under study (e.g, machines, spare parts)
factor [hsh]	A circumstance, fact, or influence that contributes to the costs associated with an entity (e.g., wages, number)
factor [ncti]	Anything that contributes causally to a result.
factor [proco]	A data item that is a member of a minimal set of independent variables that can be used to model the dependent reponses in a set of related experiments.
factor [allotrope]	A multiplicand in a mathematical product expression. [Allotrope]
cost [hsh]	Cumulative expression for the value of all costs groups within the system under study
cost [ncti]	The amount paid, charged, or engaged to be paid, for purchasing goods, services and financial instruments.
cost group [hsh]	Cumulative expression for the value of overarching entity groups (e.g., human ressource, maintenance) within the system under study
human ressource cost [hsh]	A cost group for all cost values occuring from entity sub-groups in the human ressource cost group and the associated factors
maintenance cost [hsh]	A cost group for all cost values occuring from entity sub-groups in the maintenance cost group and the associated factors
energy cost [hsh]	A cost group for all cost values occuring from entity sub-groups in the energy cost group and the associated factors
material cost [hsh]	A cost group for all cost values occuring from entity sub-groups in the material cost group and the associated factors
storage cost [hsh]	A cost group for all cost values occuring from entity sub-groups in the storage cost group and the associated factors
production cost [hsh]	A cost group for all cost values occuring from entity sub-groups in the production cost group and the associated factors
investment cost [hsh]	A cost group for all cost values occuring from entity sub-groups in the investment cost group and the associated factors
waste management cost [hsh]	A cost group for all cost values occuring from entity sub-groups in the waste management cost group and the associated factors
turnover [hsh]	A cost group for the total sales value generated in a time period X by the system under investigation
machine [hsh]	An apparatus using mechanical power and having several parts, each with a definite function and together performing a particular task, required for operations in the system under investigation. Constitutes an entity in the maintenance cost, energy cost, production cost, investment cost and turnover cost group.
Operating status [hsh]	The state of an unit within an individual entity sub-group with regard to its working order (e.g., good, defective, not working).
condition [ncti]	A state of being, such as a state of health.
condition [shacl]	The shapes that the focus nodes need to conform to before a rule is executed on them.
condition [ssn]	Used to specify ranges for qualities that act as conditions on a system/sensor's operation. For example, wind speed of 10-60m/s may be used as the condition on a SystemProperty, for example, to state that a sensor has a particular accuracy in that
raw material [hsh]	The basic materials from which a finished product is made in the system under investigation. Constitutes an entity in the material cost and waste management cost group.
semi-finished product [hsh]	Processed raw materials that are not used for final consumption but as input for the production of finished goods in the system under investigation. Constitutes an entity in the material cost and waste management cost group.
finished product [hsh]	The product that emerges at the end of the production process of the system under study.  Constitutes an entity in the material cost, production cost, and waste management cost group.
spare parts [hsh]	A duplicate part to replace a lost or damaged part of a machine entity unit in the system under investigation. Constitutes an entity sub-group of the wear parts entity.
wear parts [hsh]	Parts pf a machine entity unit that are bound to wear out with repetitive use and will require periodic repair or replacement based on maintenance interval in the system under investigation. Constitutes an entity of the maintenance cost and material cost group.
packaging [hsh]	Materials used to wrap or protect raw materials, semi-finished products, and finished products.
operator [hsh]	A person who operates a machine entity unit in the system under investigation. Constitutes an entity of the human resource and the production cost group.
operator [ncti]	A person that operates some apparatus or machine.
supervisor [hsh]	A person who supervises and coordinates the work of employees who set up and operate machine entity units in the system under investigation. Constitutes an entity of the human ressource and the production cost group.
supervisor [ncti]	An individual who is responsible for managing or operating a business, organization, team or department.
supervisor [m4i]	Designated administrator over one or more groups/teams working to produce a resource, or over one or more steps of a development process
operational assistant [hsh]	A person who supports an operator in the system under investigation. Constitutes an entity of the human ressource and the production cost group.
warehouse clerk [hsh]	A person who handles a company's incoming and outgoing raw materials, semi-finished prodcuts as well as finished products, and who manages stocks in the system under investigation. Constitutes an entity of the human ressource and the storage cost group.
quality inspector [hsh]	A person who monitors the quality of incoming and outgoing products or materials in the system under investigation. Constitutes an entity of the human ressource and the production cost group.
conveyor vehicle [hsh]	A mode of transport that is employed to transport raw materials, semi-finished goods and finished goods within the system under investigation.
mean time to failure [hsh]	A maintenance metric that measures the average amount of time a non-repairable asset operates before it fails in the system under investigation. Constitutes a factor of the maintenance cost group.
mean time to repair [hsh]	A maintenance metric that measures the average time required to troubleshoot and repair failed equipment. Constitutes a factor of the maintenance cost group.
maintenance interval [hsh]	The schedule for all anticipated maintenance activities regarding machine entites within the system under investigation. Constitutes a factor of the maintenance cost group.
maintenance interval [iirds]	Type of planning time: Fixed time interval for the scheduled maintenance of a technical system or its parts.
maintenance duration [hsh]	The averafe time that is required to conduct scheduled maintenance activities for a machine entity unit. Constitutes a factor of the maintenance cost group.
energy consumption [hsh]	The amount of electricity (kw/h) that is consumed by all entities in the system under investigation. Constitutes a factor of the energy cost, storage cost and production cost group.
unit cost [hsh]	The expenditure that incurs for acquiring a single unit of an entity sub-group in the system under investigation. Constitutes a factor of the maintenance cost, material cost, and storage cost group.
aggregate [enm]	A composite particle, comprising of strongly bound or fused smaller particles, where the resulting external surface area may be significantly smaller than the sum of calculated surface areas of the individual components.
agglomerate [enm]	A collection of weakly bound particles or aggregates where the resulting surface area is similar to the sum of the surface areas of the individual components.
building	A structure that has a roof and walls and stands more or less permanently in one place.
throughput [hsh]	The amount of raw materials, semi-finisehd products or finished products passing through a machine entity in the time X in the system under investigation.
indirect cost [hsh]	All costs that are derived from costs groups encompassing overhead charges or subsidiary work.
direct cost [hsh]	All costs that are derived from costs groups that are directly related to the production of goods in the system under study.
direct cost	Costs that can be identified with a particular project or program.
unit [hsh]	A single system element (e.g., extruder 1, tool 1) within an entity sub-group in the system under investigation.
unit [ncti]	A property representing the unit of measure in which a nutrient or food component is typically expressed, ex., gram (g), minigram (mg), microgram (mcg), joule, or kilojoule.
unit [ncti]	The property used in conjunction with a nutrient or food component, typically expressed in gram (g), milligram (mg), microgram (mcg), joule, or kilojoule.
unit [ncti]	A single undivided thing occurring in the composition of something else.
unit [sd]	Class designed to distinguish the different types of units that are available in variables from datasets or parameters
unit [uo]	"""A unit of measurement is a standardized quantity of a physical quality."" [Wikipedia:Wikipedia]"
extruder [hsh]	A machine that pushes unvulcanized rubber compounds through an extrusion die under pressure. Constitutes an entity sub-group of the machine entity.
banbury mixer [hsh]	A machine that mixes polymers and additives in the manufacture of plastic and rubber products. Constitutes an entity sub-group of the machine entity.
tire building machine [hsh]	A machine that assembles assembles all components and semi-finished products to produce a tyre. Constitutes an entity sub-group of the machine entity.
cutter [hsh]	A pneumtaic machine that cuts rubber materials. Constitutes an entity sub-group of the machine entity.
calandar [hsh]	A machine that combines a series of hard pressure rollers used to finish or smooth a sheet of rubber material. Constitutes an entity sub-group of the machine entity.
storage robot [hsh]	An automated system that transports good to, within and from storage areas. Constitutes an entity sub-group of the machine entity.
gantry crane [hsh]	An overhead crane with a girder configuration supported by freestanding legs that move on wheels to transport goods. Constitutes an entity sub-group of the machine entity.
uniformity grading machine [hsh]	A machine that is measures the tire uniformity for complete vehicle wheels and determines the radial and lateral force fluctuations of the rolling wheel. Constitutes an entity sub-group of the machine entity.
forklift [hsh]	A powered industrial truck used to lift and move materials over short distances. Constitutes an entity sub-group of the conveyor vehicle entity.
conveyor [hsh]	A continuous moving strip or surface that is used for transporting objects between different destinations. Constitutes an entity sub-group of the conveyor vehicle entity.
lift truck [hsh]	A small truck for lifting and transporting loads. Constitutes an entity sub-group of the conveyor vehicle entity.
tools [hsh]	An object shaped for repair and installation purposes, with the help of which something is processed or manufactured.Constitutes an entity sub-group of the wear parts entity.
small parts [hsh]	A set of small wear parts required to maintain and repair a machine entity. Constitutes an entity sub-group of the wear parts entity.
whole components [hsh]	Components required to maintain and repair a machine entity. Constitutes an entity sub-group of the wear parts entity.
lighting [hsh]	Equipment that is employed for producing light in the system under investigation. Constitutes an entity sub-group of the building entity.
air conditioning [hsh]	Equipment that is employed for cooling and heating in the system under investigation. Constitutes an entity sub-group of the building entity.
office equipment [hsh]	Equipment that is employed for managerial purposes in the system under investigation.
narural rubber [hsh]	An elastic material obtained from the latex sap of trees. Constitutes an entity sub-group of the raw material entity.
narural rubber [ncti]	The natural extract of tropical rubber plants.
Synthetic rubber [hsh]	Any of several substances similar to natural rubber in properties and uses, produced synthetically. Constitutes an entity sub-group of the raw material entity.
filling material [hsh]	Material that is required to manipulate the properties of rubber products. Constitutes an entity sub-group of the raw material entity.
reinforcing materials [hsh]	Material that is used to support the structure of rubber based products (e.g., steel cords). Constitutes an entity sub-group of the raw material entity.
plasticizer [hsh]	A substance added to a synthetic resin to produce or promote plasticity and flexibility and to reduce brittleness. Constitutes an entity sub-group of the raw material entity.
plasticizer [ncti]	A substance added to plastics or other materials to make or keep them soft or pliable.
plasticizer [chebi]	Any compound that is used as an additive to increase the plasticity or fluidity of a substance, particularly but not exclusively to synthetic polymers.
vulcanization chemicals [hsh]	Chemicals added to rubber to alter its physical properties. Constitutes an entity sub-group of the raw material entity.
other additives [hsh]	Additional substances that are employed to product rubber-based products. Constitutes an entity sub-group of the raw material entity.
Raman spectroscopy [ifnano]	A non-destructive light scattering technique that provides detailed information about the chemical structure upon the interaction of light with the chemical bonds within a material based on periodic changes of polarizabilities, usually manifested as energy loss (gain) with respect to the incident light.
Raman spectroscopy [allotrope]	Any type of vibrational spectroscopy where the Raman scattering of monochromatic light, usually from a laser in the visible, near infrared, or near ultraviolet range by a sample is detected. [CHMO]
Raman spectroscopy [ncit]	Emission of electromagnetic energy with a shorter frequency (longer wavelength) than that of the incident monochromatic light. Arises from the low probability absorption of quanta with a higher energy than that required for a transition: the difference in energy is emitted as a lower frequency (energy) photon. Allows analysis of vibrational and rotational energy levels using visible incident light. [ NCI ]
Spectrum [ifnano]	A graph that shows the intensity of radiation at different wavelengths or the response of the atomic or molecular system to different wavelengths of the radiation
Spectrum [allotrope]	A spectrum is a data distribution function of a measured quantity in a spectroscopy against some experimental parameter. [Allotrope]
Spectrum [ncit]	An array of entities, such as light waves or particles, ordered in accordance with the magnitudes of a common physical property, such as wavelength or mass.
Raman spectrum [ifnano]	A graph presents a number of peaks, showing the intensity and wavelength position of the Raman scattered light, in which each peak corresponds to a specific molecular bond vibration.
Raman spectrum [allotrope]	A plot of intensity vs. Raman shift (cm-1) obtained by measuring the Raman scattering of monochromatic light from a sample. [CHMO]
FTIR spectroscopy [ifnano]	Fourier transform infrared involves the probing of matter with infrared radiation. It is based on periodic changes in dipole moments caused by molecular vibrations during the absorption of IR radiation and gives spectroscopic fingerprints.
ATR-FTIR [ifnano]	An attenuated total reflection accessory operates by measuring the changes that occur in a totally internally reflected infrared beam when the beam comes into contact with a sample.
Statistical discrimination [ifnano]	It arises when groups differ statistically in their distributions on characteristics relevant to a given situation.
Chemometrics [ifnano]	The chemical discipline that uses mathematical and statistical methods, (a) to design or select optimal measurement procedures and experiments, and (b) to provide maximum chemical information by analyzing chemical data.
Raw rubber samples [ifnano]	Natural and synthetic rubber materials that are modified and shaped into rubber products through the rubber extrusion process.
Correlation [ifnano]	The degree to which two or more quantities or events are associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others. The collelation can be described by mathematical functions  (often a linear function is used). It’s a common tool for describing simple relationships without making a statement about cause and effect.
Correlation [ncit]	The degree to which two or more quantities or events are linearly associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others.
concentration [ifnano]	A quality of a substance in terms of its amount per unit volume in a mixture.
concentration [bwmd]	The quantity kind concentration
concentration [allotrope]	A concentration (datum) is a quantification facet that quantifies a quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance. [Allotrope]
concentration [ncit]	The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts.
concentration [edam]	The concentration of a chemical compound.
concentration [chmo]	Experimental method output expressing the contribution of one constituent to the composition of a mixture.
concentration [ecso]	the strength of a solution; number of molecules of a substance in a given volume
extrudate [ifnano]	Product of the process of Extrusion
extrusion [ifnano]	Extrusion is a process used to create objects of a fixed cross-sectional profile by pushing material through a die of the desired cross-section.
extrusion [rex]	A transformation in which an atom or group Y connected to two other atoms or groups X and Z is lost from a molecule, leading to a product in which X is bonded to Z, e.g. X-Y-Z --> X-Z + Y.
extrusion [chmo]	A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die.
Laser induced breakdown spectroscopy [ifnano]	Laser induced breakdown spectroscopy is a type of atomic emission spectroscopy which uses a highly energetic laser pulse as the excitation source. The laser is focused to form a plasma, which atomizes and excites samples. The Emission of these excited species is analyzed to identify and quantify the elements contained in the sample.
Laser induced breakdown spectroscopy [chmo]	A type of atomic emission spectrometry where a high energy laser pulse is used to generate a plasma which acts as the excitation source.
distribution quality [ifnano]	A quality of a sample in terms of homogenity, or the distribution of concentration of a specific component in a mixture, in a macroscopic body.
peak[ifnano]	In Spectroscopy, peaks are features of a spectrum. A peak comprise a restricted region of a spectrum, which is absorbed or emitted with high intensity. It is defined as a local maximum in the spectrum.
peak [allotrope]	A peak describes a part of a data distribution function at a definite range of the experimental parameter (independent variable) of the distribution function. This definition includes a single data point of the distribution function. [Allotrope]
peak [ncit]	The most extreme possible amount or value; the highest point.
Classification [ifnano]	Is to reliably assign new samples to existing classes in a given population.
peak [ms]	A localized region of relatively large ion signal in a mass spectrum. Although peaks are often associated with particular ions, the terms peak and ion should not be used interchangeably.
raw spectrum [ifnano]	Unprocessed data obtained from spectrometric devices
processed spectrum [ifnano]	Result of different mathematical processes conducted on raw Spectra. Processing steps include e.g. normalization and baseline correction
principal component analysis [ifnano]	Principal component analysis (PCA) is the process of computing the principal components and using them to perform a change of basis on the data.
principal component analysis [ncit]	A vector space transform used to reduce the dimensionality in a dataset while retaining those characteristics of the dataset that contribute most to its variance.
principal component analysis [edam]	A statistical procedure that uses an orthogonal transformation to convert a set of observations of possibly correlated variables into a set of values of linearly uncorrelated variables called principal components.
Photometric Measurement Process [ifnano]	Measurement using photometry
Metadata [ifnano]	Metadata are data, which belong to a measurement. They complete the measurment data providing information about the condition under which the measurements have been taken place.
Metadata [ncit]	Data about data; information that describes another set of data.
Photometry [ifnano]	Measurement method using visible light to analyse the property of a substance
Photometry [ncit]	Measurement of the properties of light, especially luminous intensity.
Colorimetry (chemical method) [ifnano]	Determination concentrations using a color chart
Colorimetry [allotrope]	The determination of the spectral absorbance of a solution. This method is often used to determine the concentration of a chemical in a solution. [CHMO]
Colorimetry [ncit]	An assessment used to quantify and describe the colors within the visible spectrum of light.
Image data [ifnano]	Digital representation of an image. Images are represented in natural numbers.
RGB image data [ifnano]	Digital representation of an image using a natural number defining the red, green and blue proportion for each pixel
Picture grid [ifnano]	Commen form of representing a digital picture: The picture is represented as a XY-Grid of Data-Points containing the color and brightness information.
Pixel [ifnano]	Element of the picture grid
Pixel [ncit]	The smallest resolvable rectangular area of an image, either on a screen or stored in memory.
Digital image processing [ifnano]	The use of a digital computer to process digital images through an algorithm.
Image analysis (Chemometrics) [ifnano]	Using image data and eventually digital image processing in order to generate a corellation between this data and an analytical target.
Image analysis [allotrope]	Image analysis is the discovering of patterns in an image that are correlated to qualities of the material entity the image represents or of abstract patterns. [Allotrope]
Image analysis [edam]	The analysis of a image (typically a digital image) of some type in order to extract information from it.
analytical target [ifnano]	The information represented by one or more variables, which has to be predicted by data analysis in instrumental analytics
Geometry correction [ifnano]	In terms of digtal image procession: correction methods to compensate image errors caused by lense distorsion or perspective.
Linear discriminant analysis [ifnano]	Linear discriminant analysis (LDA), normal discriminant analysis (NDA), or discriminant function analysis is a generalization of Fisher's linear discriminant, a method used in statistics and other fields, to find a linear combination of features that characterizes or separates two or more classes of objects or events.
Supervised learning [ifnano]	Machine learning task of learning a function that maps an input to an output based on example input-output pairs.
Supervised learning [obi]	A machine learning process using a function that maps an input to an output based on example input-output pairs. It infers a function from labeled training data consisting of a set of training examples.
Unsupervised learning [ifnano]	A type of algorithm that learns patterns from untagged data
Unsupervised learning [obi]	"A machine learning process that infers a function describing the structure of ""unlabeled"" data (i.e. data that has not been classified or categorized)."
Image histogramm / histogramm [ifnano]	A type of histogram that acts as a graphical representation of the tonal distribution in a digital image. It plots the number of pixels for each tonal value.
Color histogramm [ifnano]	A multidimensional histogram of the distribution of color in an image
count [ifnano]	counting events
count [allotrope]	The number of objects counted. [Allotrope]
count [allotrope]	A datum that has non-negative integer values that is about the number of discrete things. [Allotrope]
count [ncit]	Determining the number or amount of something.
count [ms]	a count is a data item denoted by an integer and represented the number of instances or occurences of an entity
arbitrary units	A single undivided thing (unit) based on or subject to individual judgment or preference, and not by necessity, reason, or principle.
zinc [ifnano]	The chemical element zinc
zinc [bwmd]	The chemical element zinc
zinc [ncit]	An element with atomic symbol Zn, atomic number 30, and atomic weight 65.39.
zinc [efo]	A zinc group element atom that has formula Zn.
Standard deviation [ifnano]	A measure of the amount of variation of a set of values.
Standard deviation [allotrope]	The standard deviation is a measure of the amount of variation or dispersion of a set of values. [Wikipedia]
baseline correction [ifnano]	A pre-processing technique used to separate true spectroscopic signals from interference effects or remove background effects, stains, or traces of compounds. It adjusts the spectral offset.
Standard deviation [ms]	The standard deviation of a random variable, statistical population, data set, or probability distribution is a measure of variation which correspond to the average distance from the mean of the data set to any given point of that dataset. It also corresponds to the square root of its variance.
Mooney viscosity [ifnano]	The viscosity of rubber using a standard test method and Mooney Viscometer.
Monomer [ifnano]	"Asubstance which is capable of forming covalent bonds with a
sequence of additional like or unlike molecules under the conditions of the relevant polymerforming reaction used for the particular process"
Monomer [ncit]	A chemical subunit that can undergo polymerization by bonding to other subunits.
polymer [ifnano]	"a substance consisting of molecules characterised by the sequence of one or more
types of monomer unit. Such molecules must be distributed over a range of molecular weights."
polymer [chebi]	A polymer is a mixture, which is composed of macromolecules of different kinds and which may be differentiated by composition, length, degree of branching etc..
Polymer Composition [ifnano]	The relative proportions of monomers that make up a particular chemical polymer (raw rubber).
Composition [fso]	Composition of the material or substance.
Composition [pato]	A single physical entity inhering in an bearer by virtue of the bearer's quantities or relative ratios of subparts. [PATO]
Composition [ncit]	The way in which something is made, especially in terms of its different parts; its constituents.
sample [ifnano]	A material entity, which is part of a larger set of the same material entity
agglomerate [dik]	Group of interlocked aggregates that are easily separated by normal rubber processing
aggregate [dik]	Rigid group of coalesced particles which is the smallest entity that can be dispersed by normal rubber processing
particle [dik]	Smallest discernible spherical or nearly spherical unit which can exist separately
particle [ncit]	An object with finite mass and size parameters.
Polymer [dik]	substance composed of molecules characterized by the multiple repetition of one or more species of atoms or groups of atoms (constitutional units) linked to each other in amounts sufficient to provide a set of properties that do not vary markedly with the addition or removal of one or a few of the constitutional units
Keltan 5470C [dik]	Trade name for a specific EPDM rubber
Filler [dik]	solid compounding ingredient, in particulate form, which may be added in relatively large proportions to a rubber or rubber latex for technical or economic purposes
N600-Carbon Black [dik]	An N carbon black with an average nitrogen surface area of 33 to 39 m²/g.
Corax N660 [dik]	Trade name for a specific N600-carbon black
Softener [dik]	compounding ingredient used in small proportions to reduce the viscosity of an unvulcanized rubber mix or the hardness of a vulcanizate
Paraffinic Oil [dik]	hydrocarbon process oil, most or all of which is composed of alkanes
‎P460 [dik]	Trade name for a specific paraffinic oil
Process Oil [dik]	hydrocarbon oil derived from petroleum or other sources and used as an extender or processing aid
Processing Aid [dik]	compounding ingredient which improves the processability of a rubber compound or mix
antidegradant [dik]	compounding ingredient used to retard deterioration by ageing
Antilux 500‎ [dik]	Trade name for a specific antidegradant
activator [dik]	compounding ingredient used in small proportions to increase the effectiveness of an accelerator
activator [ncit]	A class of substances that binds to, activates and increases the activity of a target.
Zinkoxid Rotsiegel [dik]	Trade name for a specific zinc oxide
Stearic Acid [ncit]	A saturated long-chain fatty acid with an 18-carbon backbone. Stearic acid is found in various animal and plant fats, and is a major component of cocoa butter and shea butter.
PALMERA B 1802-CG [dik]	Trade name for a specific stearic acid
accelerator [dik]	compounding ingredient used in small amounts with a vulcanizing agent to increase the speed of vulcanization and/or enhance the physical properties of the vulcanizate
primary accelerator [dik]	principal accelerator used in a vulcanizing system
secondary accelerator [dik]	accelerator used in low concentrations with the primary accelerator to optimize cure rate and vulcanizate properties
di(benzothiazol-2-yl)disulfide [chebi]	An organic disulfide resulting from the formal oxidative coupling of the thiol groups of two molecules of 1,3-benzothiazole-2-thiol. It is used as an accelerator in the rubber industry.
Vulkacit MBTS [dik]	Trade name for a specific di(benzothiazol-2-yl)disulfide
Luvomaxx TbzTD [dik]	Trade name for a specific tetrabenzylthiuramdisulfide
dithiocarbamate [chebi]	A member of the class of dithiocarbamate anions resulting from the deprotonation of both of the dithiocarbamic acid moieties of ethylenebis(dithiocarbamic acid). The major species at pH 7.3.
Rhenogran ‎ZBDC 80‎ [dik]	Trade name for a specific zinc dibenzyldithiocarbamate
Vulcanizing Agent [dik]	compounding ingredient that produces crosslinking in rubber
Vulcanizing System [dik]	combination of vulcanizing agent and, as required, accelerators, activators, retarders, etc., used to produce the desired vulcanization characteristics and vulcanizate properties
Cure Rate [dik]	rate at which a rubber compound vulcanizes after having reached the point of incipient vulcanization
Retarder [dik]	compounding ingredient used to reduce the tendency of a rubber compound to vulcanize prematurely
PHR [dik]	mass of compounding ingredient added to one hundred mass units of elastomer
Formulation [dik]	list of compounding ingredients and their proportions, used in the preparation of a compound
Compounding Ingredient [dik]	substance added to a rubber or rubber latex to form a mix
Compound [dik]	intimate mixture of a rubber or rubbers or other polymer-forming materials with all the ingredients necessary for the finished product
Mill [dik]	machine with two counter-rotating rolls, frequently heated or cooled, usually driven at different speeds, and having an adjustable nip for mastication, mixing, blending, warm-up or sheeting
Roll [dik]	cylinder forming a major, rotating member of a calender or mill
Rotational Frequency [dik]	A physical quality which inheres in a bearer by virtue of its speed rotating around itself.
Rotational Frequency Unit [uo]	"""A unit which is a standard measure of the number of rotations in a given time."" [NIST:NIST]"
Frequency Unit [uo]	"""A unit which is a standard measure of the number of repetitive actions in a particular time."" [NIST:NIST]"
Frequency Unit [ncit]	An indication of the type of unit of measure being used to express a number of regular events in a given time per unit of time.
Turns per Second [dik]	A rotational frequency unit which is equal to the number of completed turns in a period of time that equals to 1 second.
Turns per Second [uo]	"""A rotational frequency unit which is equal to the number complete turn in a period of time that equals to 1 second."" [NIST:NIST]"
Turns per Minute [dik]	A rotational frequency unit which is equal to the number of completed turns in a period of time that equals to 1 minute.
Discriminant analysis [ifnano]	Is a supervised classification method and it is used to build classification rules of a number of prespecified clases.
Temperature [ncit]	A measure of the average kinetic energy of a system of particles. Temperature may be quantified, in the context of thermodynamics, as the potential of one system to transfer thermal energy to another system until both systems reach a state of thermal equilibrium.
Temperature [pato]	A physical quality of the thermal energy of a system.
Temperature [om]	Temperature is the extent to which an object is hot.
Temperature [efo]	Temperature is a physical quality of the thermal energy of a system.
Temperature Unit [uo]	"""A unit which is a standard measure of the average kinetic energy of the particles in a sample of matter."" [Wikipedia:Wikipedia]"
Temperature Unit [ncit]	An indication of the type of unit of measure being used to express a temperature.
NIP [dik]	radial clearance between the roll surfaces of a mill or calender on a line of centres
Sheeting [dik]	Process of converting a rubber or rubber mix, rubber dough or coagulated latex into a form in which the thickness is small in proportion to the length
Dispersion [dik]	Distribution of one or more ingredients into a rubber, a rubber blend or a continuum material, by the application of shearing forces, in order to confer optimum and uniform properties
Mastication [dik]	the molecular mass of a rubber, in either the raw or the mixed state, by the action of mechanical work (shear) and atmospheric oxygen, sometimes assisted by peptizers and heat
Mastication [ncit]	The process by which food is torn or crushed by the teeth.
Mastication [hp]	The process of biting and mashing food with the teeth prior to swallowing.
Processability [dik]	relative ease with which raw or compounded rubbers can be handled in rubber-processing machinery
Mixer Device [dik]	A device for mixing/blending materials or signals.
Mixer Device [ncit]	A mechanical device designed to blend materials or an electronic device designed to blend signals.
Mechanical Mixer [dik]	A mixer device designed for mechanically mixing/blending materials.
Mechanical Mixer [ncit]	A mechanical component designed to blend materials.
Internal Mixer [dik]	machine with temperature controls containing one or more rotors operating in a closed cavity used to masticate and/or to incorporate and disperse compounding ingredients into the rubber
Torque [om]	Torque is the effectiveness of a force to produce rotation about an axis, measured by the product of the force and the perpendicular distance from the line of action of the force to the axis.
Length [ncit]	The linear extent in space from one end of something to the other end, or the extent of something from beginning to end.
Length [pato]	A 1-D extent quality which is equal to the distance between two points.
Length [om]	Length is the amount of space between two geographical points along a curve. It is a base quantity in the International System of Units and other systems of units. Length is speed times time. The metre, a base unit of length in the International System of Units, is defined in terms of speed of light during a certain time interval.
Length [ms]	PEFF keyword for the sequence length.
Length Unit [uo]	"""A unit which is a standard measure of the distance between two points."" [Wikipedia:Wikipedia]"
Length Unit [ncit]	An indication of the type of unit of measure being used to express a length or distance.
millimeter [ncit]	A metric unit of length equal to one thousandth of a meter (10E-3 meter) or approximately 0.03937 inch.
millimeter [uo]	"""A length unit which is equal to one thousandth of a meter or 10^[-3] m."" [NIST:NIST]"
Power [pato]	A physical quality inhering in a bearer by virtue of the bearer's rate of doing work.
Power [om]	Power is the time rate at which work is done. It is a derived quantity in the International System of Units. Power is energy divided by time.
Filling Ratio [dik]	A physical quality which inheres in a bearer by virtue of the ratio of the volume of a substance contained in the bearer and the bearer's own volume.
batch [dik]	Product of one mixing operation
batch [ncit]	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
Extruder [dik]	machine which, through the use of a screw or a hydraulic ram, continuously shapes a material by forcing it through a die or dies
Screw [dik]	rotating member with one or more helical grooves, used to propel rubber along the barrel of an extruder
Die [dik]	that part of an extruder through which material is forced, forming a profile of the extrudate
Extrudate [dik]	product of an extrusion process
Extruder Head [dik]	that part of an extruder which houses the die and die holder
Extrusion [dik]	continuous shaping of a material by passage through a die
Extrusion [rex]	A transformation in which an atom or group Y connected to two other atoms or groups X and Z is lost from a molecule, leading to a product in which X is bonded to Z, e.g. X-Y-Z --> X-Z + Y.
Extrusion [chmo]	A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die.
