,Class,Label,Definition
204,digitrubber#DIGITRUBBER_000047,Industrie 4.0 [ita],"Industrie 4.0 is the intelligent networking of machines and processes in the industrial environment, with the help of information and communication technology and thus digitization of the industrial production."
205,digitrubber#DIGITRUBBER_000048,rubber [ita],Rubber is an elastic substance made either from the juice of particular tropical trees or artificially. It is raw material for car tires and other technical products.
206,digitrubber#DIGITRUBBER_000049,Artificial Intelligence (AI) [ita],Artifical intelligence is a branch of computer science dealing with the automation of intelligent behavior. Can be used in technical areas as methods of machine learning.
207,digitrubber#DIGITRUBBER_000050,Artificial Intelligence (AI) [ncti],Artificial intelligence is the branch of computer science that deals with writing computer programs that can solve problems creatively.
208,digitrubber#DIGITRUBBER_000051,machine learning [ita],"Machine learning is a sub-area of ​​artificial intelligence that deals with artificial systems that adapt their actions to external conditions so that their output is improved according to defined standards. For this purpose, algorithms build a model based on training data. The algorithms does not learn to memorize, but uses patterns and laws, so the systems can also process unknown data. The learning algorithms are divided into supervised learning, unsupervised learning and reinforcement learning."
209,digitrubber#DIGITRUBBER_000052,machine learning [ncti],A computing system (inspired by biological neural networks) that learns (progressively improves its ability) to do tasks by considering examples without task-specific programming. (After DeepAI Machine Learning Glossary and Terms)
210,digitrubber#DIGITRUBBER_000053,machine learning [obi],"A planned process in which statistical techniques are used to give computers the ability to learn about patterns in data, without being explicitly programmed. Learning is defined in this case as progressively improving performance on a specific task."
211,digitrubber#DIGITRUBBER_000054,machine learning [edam],"A topic concerning the application of artificial intelligence methods to algorithms, in order to create methods that can learn from data in order to generate an ouput, rather than relying on explicitly encoded information only."
212,digitrubber#DIGITRUBBER_000055,microcontroller [ita],"Microcontrollers are compact integrated circuits designed to govern a specific operation in an embedded system. Typically a microcontroller includes a processor, memory and input/output peripherals on a single chip."
213,digitrubber#DIGITRUBBER_000056,mixing [ita],"Mixing is the first of the three areas of an extrusion line, where the input material is homogenized and mixed. This occurs within a screw element through shearing and mixing of the input material."
214,digitrubber#DIGITRUBBER_000057,mixing [chmo],"The combining of components, particles or layers into a more homogeneous state. The mixing may be achieved manually or mechanically by shifting the material with stirrers or pumps or by revolving or shaking the container. The process μst not permit segregation of particles of different size or properties. Homogeneity may be considered to have been achieved in a practical sense when the sampling error of the processed portion is negligible compared to the total error of the measurement system."
215,digitrubber#DIGITRUBBER_000058,mixing [ncti],To bring or combine together or with something else; add as an additional element or part.
216,digitrubber#DIGITRUBBER_000059,pattern recognition [ita],"Pattern recognition is the automated recognition of patterns and regularities in data. Pattern recognition has its origins in statistics and engineering; some modern approches include the use of machine learning, due to the increased availability of big data and a new abundance of processing power."
217,digitrubber#DIGITRUBBER_000060,pattern recognition [ncti],"A branch of artificial intelligence concerned with the identification of visual or audio patterns by computers.For the computer to recognize the patterns, the patterns must be converted into digital signals and compared with patterns already stored in memory.Some uses of this technology are in character recognition, voice recognition, handwriting recognition, and robotics. (High-Tech Dictionary) [ NCI ]"
218,digitrubber#DIGITRUBBER_000061,neural network [ita],"Artificial neural networks (ANNs) are based on a reduced set of concepts from biological neural systems. It is composed of different Layeres, an input layer, one or more hidden layers and an output layer. Each layer consists of several artificial neurons. The connections of the biological neuron are modeled in artificial neural networks as weights between the artificial neurons. A positive weight reflects an excitatory connection, while negative values mean inhibitory connections. An activation function controls the amplitude of the output. They can be used to model complex relationships between inputs and outputs or to find patterns in data. Thereby ANNs can be trained by machine learning techniques to approximate a function, when the complexity of the data or task makes the design of such function by hand impractical. Other tasks in which ANNs can be trained are classification, including pattern recognition, clustering and Data processing, including clustering."
219,digitrubber#DIGITRUBBER_000062,neural network [ncti],"A computer algorithm to solve non-linear optimization problems. The algorithm was derived in analogy to the way the densely interconnected, parallel structure of the brain processes information."
220,digitrubber#DIGITRUBBER_000063,online characterisation [ita],Online characterisation is the characterization of the material properties during the process and on the real process line in order to be able to react to fluctuations during production.
221,digitrubber#DIGITRUBBER_000064,online optimization [ita],In online optimization decisions are made directly in the real process section and without knowledge of future results. Also often the data of the problem instance is not complete.
222,digitrubber#DIGITRUBBER_000065,optimization [ita],Optimizers are algorithms or methods used to solve optimization problems by minimize an error function (loss function) or to maximize the efficiency of production. Optimizers are mathematical functions which are dependent on model's learnable parameters i.e Weights & Biases.
223,digitrubber#DIGITRUBBER_000066,optimization [ncti],An activity that attempts to find the best solution to a problem.
224,digitrubber#DIGITRUBBER_000067,Production-in-the-Loop [ita],"Production-in-the-Loop describes a method, in which information from the production process is continuously recorded and the process is adapted to the changing framework conditions on the basis of this information."
225,digitrubber#DIGITRUBBER_000068,regression analysis [ita],"Regression analysis consists of a set of machine learning methods that allow us to predict a continuous outcome variable (y) based on the value of one or multiple predictor variables (x). Regression is a supervised learning technique, in which Algorithems build a mathematical Modell or equation that defines y as a funktion of x."
226,digitrubber#DIGITRUBBER_000069,simulation environment [ita],"A simulation environment is a virtual environment that maps/models the real process. A simulation model thus makes it possible to train control tasks using learning algorithms offline, i.e. not on the real system but on the computer. Neural networks can be used to create such model."
227,digitrubber#DIGITRUBBER_000070,test dataset [ita],The test dataset is a subset of the dataset that is held back from training the model and given to the learning algorithm to test the trained model. Typically it consists of 20% to 30% of the original dataset. It is the sample of data used to provide an unbiased evaluation of a final model fit on the training dataset.
228,digitrubber#DIGITRUBBER_000071,train dataset [ita],The train dataset is a subset of the dataset that is given to the learning algorithm to train a model. Typically it consists of 70% to 80% of the original dataset. It is the sample of data used to fit the model.
229,digitrubber#DIGITRUBBER_000072,supervised learning [ita],"Supervised learning is the machine learning task of learning a function that maps an input to an output based on example input-output pairs. It infers a function from labeled training data consisting of a set of training examples. In supervised learning, each example is a pair consisting of an input object (typically a vector) and a desired output value (target)."
230,digitrubber#DIGITRUBBER_000073,supervised learning [obi],A machine learning process using a function that maps an input to an output based on example input-output pairs. It infers a function from labeled training data consisting of a set of training examples.
231,digitrubber#DIGITRUBBER_000074,unsupervised learning [ita],"Unsupervised learning is a type of algorithm that learns patterns from untagged data. The hope is that through mimicry, which is an important mode of learning in people, the machine is forced to build a compact internal representation of its world and then generate imaginative content from it. Unsupervised methods exhibit self-organization that captures patterns as probability densities or a combination of neural feature preferences."
232,digitrubber#DIGITRUBBER_000075,unsupervised learning [obi],"A machine learning process that infers a function describing the structure of ""unlabeled"" data (i.e. data that has not been classified or categorized)."
233,digitrubber#DIGITRUBBER_000076,validation dataset [ita],The validation dataset is the sample of data used to provide an unbiased evaluation of a model fit on the training dataset while tuning model hyperparameters. The evaluation becomes more biased as skill on the validation dataset is incorporated into the model configuration.
234,digitrubber#DIGITRUBBER_000077,validation [ita],"Validation data is to ""validate"" that your neural network hasn't rather memorized your training data and has thus actually learned some meaningful aspects of the data so that the model can be later used (generalized) to unseen, held-out ""test dataset""."
235,digitrubber#DIGITRUBBER_000078,validation [ncti],The act of validating; finding or testing the truth of something.
236,digitrubber#DIGITRUBBER_000079,validation [obi],a planned process with objective to check that the accuracy or the quality of a claim or prediction satisfies some criteria and which is assessed by comparing with independent results
237,digitrubber#DIGITRUBBER_000080,validation [edam],Validate some data.
238,digitrubber#DIGITRUBBER_000081,rolling [ita],Rolling is the second of the three areas of the extrusion line. Where the material is homogenised.
239,digitrubber#DIGITRUBBER_000082,twin screw extruder [ita],"Twin screw extruders have two screws, which have more shear and mixing capability than the single screw in a singel screw extruder. Depending on the direction of rotation of the screws, a distinction is made between counter-rotating and co-rotating twin-screw extruders."
240,digitrubber#DIGITRUBBER_000083,Mixing temperature [ita],Control variable that specifies at which temperature mixing takes place.
241,digitrubber#DIGITRUBBER_000084,Stamp pressure [ita],Rücksprache DIK
242,digitrubber#DIGITRUBBER_000085,rotation speed (Mixer) [ita],Control value that specifies at which speed mixing takes place
243,digitrubber#DIGITRUBBER_000086,Mixing time [ita],Control value that specifies how long mixing takes place
244,digitrubber#DIGITRUBBER_000087,Torque (mixer) [ita],Measured variable that indicates how high the torque is during mixing.
245,digitrubber#DIGITRUBBER_000088,Torque (mixer) [om],"Torque is the effectiveness of a force to produce rotation about an axis, measured by the product of the force and the perpendicular distance from the line of action of the force to the axis."
246,digitrubber#DIGITRUBBER_000089,Screw speed [ita],Control variable that indicates how high the speed of the screw is during extrusion.
247,digitrubber#DIGITRUBBER_000090,Screw torque [ita],Measured variable that indicates how high the torque of the screw is during extrusion.
248,digitrubber#DIGITRUBBER_000091,Tempering screw [ita],Control variable that indicates how high the temperature of the screw is during extrusion.
249,digitrubber#DIGITRUBBER_000092,Tempering Feed roller [ita],Control variable that indicates how high the temperature of the feed roller is during extrusion.
250,digitrubber#DIGITRUBBER_000093,Tempering cylinder [ita],Control variable that indicates how high the temperature of the cylinder is during extrusion.
251,digitrubber#DIGITRUBBER_000094,Cylinder pressure [ita],Measured variable that indicates how high the pressure in the cylinder is during extrusion.
252,digitrubber#DIGITRUBBER_000095,Tempering Tool [ita],Control variable that indicates how high the temperature of the tool is during extrusion.
253,digitrubber#DIGITRUBBER_000096,Tool pressure [ita],Measured variable that indicates how high the pressure in the tool is during extrusion.
254,digitrubber#DIGITRUBBER_000097,Near-surface mass temperature in the tool [ita],Measured variable that indicates what the temperature is at the surface of the material.
255,digitrubber#DIGITRUBBER_000098,Radial temperature profile of the mixture in the screw channel [ita],Measured variable that indicates how the temperature is distributed radially over the screw channel.
256,digitrubber#DIGITRUBBER_000099,Outlet surface [ita],System parameter that indicates how large the outlet surface of the rubber is.
257,digitrubber#DIGITRUBBER_000100,Throughput [ita],The throughput indicates how many kilograms of rubber are extruded in a given unit of time.
258,digitrubber#DIGITRUBBER_000101,collection of material entities [hsh],"A class of units in the system under study (e.g, machines, spare parts)"
259,digitrubber#DIGITRUBBER_000102,factor [hsh],"A circumstance, fact, or influence that contributes to the costs associated with an entity (e.g., wages, number)"
260,digitrubber#DIGITRUBBER_000103,factor [ncti],Anything that contributes causally to a result.
261,digitrubber#DIGITRUBBER_000104,factor [proco],A data item that is a member of a minimal set of independent variables that can be used to model the dependent reponses in a set of related experiments.
262,digitrubber#DIGITRUBBER_000105,factor [allotrope],A multiplicand in a mathematical product expression. [Allotrope]
263,digitrubber#DIGITRUBBER_000106,cost [hsh],Cumulative expression for the value of all costs groups within the system under study
264,digitrubber#DIGITRUBBER_000107,cost [ncti],"The amount paid, charged, or engaged to be paid, for purchasing goods, services and financial instruments."
265,digitrubber#DIGITRUBBER_000108,cost group [hsh],"Cumulative expression for the value of overarching entity groups (e.g., human ressource, maintenance) within the system under study"
266,digitrubber#DIGITRUBBER_000109,human ressource cost [hsh],A cost group for all cost values occuring from entity sub-groups in the human ressource cost group and the associated factors
267,digitrubber#DIGITRUBBER_000110,maintenance cost [hsh],A cost group for all cost values occuring from entity sub-groups in the maintenance cost group and the associated factors
268,digitrubber#DIGITRUBBER_000111,energy cost [hsh],A cost group for all cost values occuring from entity sub-groups in the energy cost group and the associated factors
269,digitrubber#DIGITRUBBER_000112,material cost [hsh],A cost group for all cost values occuring from entity sub-groups in the material cost group and the associated factors
270,digitrubber#DIGITRUBBER_000113,storage cost [hsh],A cost group for all cost values occuring from entity sub-groups in the storage cost group and the associated factors
271,digitrubber#DIGITRUBBER_000114,production cost [hsh],A cost group for all cost values occuring from entity sub-groups in the production cost group and the associated factors
272,digitrubber#DIGITRUBBER_000115,investment cost [hsh],A cost group for all cost values occuring from entity sub-groups in the investment cost group and the associated factors
273,digitrubber#DIGITRUBBER_000116,waste management cost [hsh],A cost group for all cost values occuring from entity sub-groups in the waste management cost group and the associated factors
274,digitrubber#DIGITRUBBER_000117,turnover [hsh],A cost group for the total sales value generated in a time period X by the system under investigation
275,digitrubber#DIGITRUBBER_000118,machine [hsh],"An apparatus using mechanical power and having several parts, each with a definite function and together performing a particular task, required for operations in the system under investigation. Constitutes an entity in the maintenance cost, energy cost, production cost, investment cost and turnover cost group."
276,digitrubber#DIGITRUBBER_000119,Operating status [hsh],"The state of an unit within an individual entity sub-group with regard to its working order (e.g., good, defective, not working)."
277,digitrubber#DIGITRUBBER_000120,condition [ncti],"A state of being, such as a state of health."
278,digitrubber#DIGITRUBBER_000121,condition [shacl],The shapes that the focus nodes need to conform to before a rule is executed on them.
279,digitrubber#DIGITRUBBER_000122,condition [ssn],"Used to specify ranges for qualities that act as conditions on a system/sensor's operation. For example, wind speed of 10-60m/s may be used as the condition on a SystemProperty, for example, to state that a sensor has a particular accuracy in that"
280,digitrubber#DIGITRUBBER_000123,raw material [hsh],The basic materials from which a finished product is made in the system under investigation. Constitutes an entity in the material cost and waste management cost group.
281,digitrubber#DIGITRUBBER_000124,semi-finished product [hsh],Processed raw materials that are not used for final consumption but as input for the production of finished goods in the system under investigation. Constitutes an entity in the material cost and waste management cost group.
282,digitrubber#DIGITRUBBER_000125,finished product [hsh],"The product that emerges at the end of the production process of the system under study.  Constitutes an entity in the material cost, production cost, and waste management cost group."
283,digitrubber#DIGITRUBBER_000126,spare parts [hsh],A duplicate part to replace a lost or damaged part of a machine entity unit in the system under investigation. Constitutes an entity sub-group of the wear parts entity.
284,digitrubber#DIGITRUBBER_000127,wear parts [hsh],Parts pf a machine entity unit that are bound to wear out with repetitive use and will require periodic repair or replacement based on maintenance interval in the system under investigation. Constitutes an entity of the maintenance cost and material cost group.
285,digitrubber#DIGITRUBBER_000128,packaging [hsh],"Materials used to wrap or protect raw materials, semi-finished products, and finished products."
286,digitrubber#DIGITRUBBER_000129,operator [hsh],A person who operates a machine entity unit in the system under investigation. Constitutes an entity of the human resource and the production cost group.
287,digitrubber#DIGITRUBBER_000130,operator [ncti],A person that operates some apparatus or machine.
288,digitrubber#DIGITRUBBER_000131,supervisor [hsh],A person who supervises and coordinates the work of employees who set up and operate machine entity units in the system under investigation. Constitutes an entity of the human ressource and the production cost group.
289,digitrubber#DIGITRUBBER_000132,supervisor [ncti],"An individual who is responsible for managing or operating a business, organization, team or department."
290,digitrubber#DIGITRUBBER_000133,supervisor [m4i],"Designated administrator over one or more groups/teams working to produce a resource, or over one or more steps of a development process"
291,digitrubber#DIGITRUBBER_000134,operational assistant [hsh],A person who supports an operator in the system under investigation. Constitutes an entity of the human ressource and the production cost group.
292,digitrubber#DIGITRUBBER_000135,warehouse clerk [hsh],"A person who handles a company's incoming and outgoing raw materials, semi-finished prodcuts as well as finished products, and who manages stocks in the system under investigation. Constitutes an entity of the human ressource and the storage cost group."
293,digitrubber#DIGITRUBBER_000136,quality inspector [hsh],A person who monitors the quality of incoming and outgoing products or materials in the system under investigation. Constitutes an entity of the human ressource and the production cost group.
294,digitrubber#DIGITRUBBER_000137,conveyor vehicle [hsh],"A mode of transport that is employed to transport raw materials, semi-finished goods and finished goods within the system under investigation."
295,digitrubber#DIGITRUBBER_000138,mean time to failure [hsh],A maintenance metric that measures the average amount of time a non-repairable asset operates before it fails in the system under investigation. Constitutes a factor of the maintenance cost group.
296,digitrubber#DIGITRUBBER_000139,mean time to repair [hsh],A maintenance metric that measures the average time required to troubleshoot and repair failed equipment. Constitutes a factor of the maintenance cost group.
297,digitrubber#DIGITRUBBER_000140,maintenance interval [hsh],The schedule for all anticipated maintenance activities regarding machine entites within the system under investigation. Constitutes a factor of the maintenance cost group.
298,digitrubber#DIGITRUBBER_000141,maintenance interval [iirds],Type of planning time: Fixed time interval for the scheduled maintenance of a technical system or its parts.
299,digitrubber#DIGITRUBBER_000142,maintenance duration [hsh],The averafe time that is required to conduct scheduled maintenance activities for a machine entity unit. Constitutes a factor of the maintenance cost group.
300,digitrubber#DIGITRUBBER_000143,energy consumption [hsh],"The amount of electricity (kw/h) that is consumed by all entities in the system under investigation. Constitutes a factor of the energy cost, storage cost and production cost group."
301,digitrubber#DIGITRUBBER_000144,unit cost [hsh],"The expenditure that incurs for acquiring a single unit of an entity sub-group in the system under investigation. Constitutes a factor of the maintenance cost, material cost, and storage cost group."
302,digitrubber#DIGITRUBBER_000145,aggregate [enm],"A composite particle, comprising of strongly bound or fused smaller particles, where the resulting external surface area may be significantly smaller than the sum of calculated surface areas of the individual components."
303,digitrubber#DIGITRUBBER_000146,agglomerate [enm],A collection of weakly bound particles or aggregates where the resulting surface area is similar to the sum of the surface areas of the individual components.
304,digitrubber#DIGITRUBBER_000148,building,A structure that has a roof and walls and stands more or less permanently in one place.
305,digitrubber#DIGITRUBBER_000150,throughput [hsh],"The amount of raw materials, semi-finisehd products or finished products passing through a machine entity in the time X in the system under investigation."
306,digitrubber#DIGITRUBBER_000151,indirect cost [hsh],All costs that are derived from costs groups encompassing overhead charges or subsidiary work.
307,digitrubber#DIGITRUBBER_000152,direct cost [hsh],All costs that are derived from costs groups that are directly related to the production of goods in the system under study.
308,digitrubber#DIGITRUBBER_000153,direct cost,Costs that can be identified with a particular project or program.
309,digitrubber#DIGITRUBBER_000154,unit [hsh],"A single system element (e.g., extruder 1, tool 1) within an entity sub-group in the system under investigation."
310,digitrubber#DIGITRUBBER_000155,unit [ncti],"A property representing the unit of measure in which a nutrient or food component is typically expressed, ex., gram (g), minigram (mg), microgram (mcg), joule, or kilojoule."
311,digitrubber#DIGITRUBBER_000156,unit [ncti],"The property used in conjunction with a nutrient or food component, typically expressed in gram (g), milligram (mg), microgram (mcg), joule, or kilojoule."
312,digitrubber#DIGITRUBBER_000157,unit [ncti],A single undivided thing occurring in the composition of something else.
313,digitrubber#DIGITRUBBER_000158,unit [sd],Class designed to distinguish the different types of units that are available in variables from datasets or parameters
314,digitrubber#DIGITRUBBER_000159,unit [uo],"""A unit of measurement is a standardized quantity of a physical quality."" [Wikipedia:Wikipedia]"
315,digitrubber#DIGITRUBBER_000160,extruder [hsh],A machine that pushes unvulcanized rubber compounds through an extrusion die under pressure. Constitutes an entity sub-group of the machine entity.
316,digitrubber#DIGITRUBBER_000161,banbury mixer [hsh],A machine that mixes polymers and additives in the manufacture of plastic and rubber products. Constitutes an entity sub-group of the machine entity.
317,digitrubber#DIGITRUBBER_000162,tire building machine [hsh],A machine that assembles assembles all components and semi-finished products to produce a tyre. Constitutes an entity sub-group of the machine entity.
318,digitrubber#DIGITRUBBER_000163,cutter [hsh],A pneumtaic machine that cuts rubber materials. Constitutes an entity sub-group of the machine entity.
319,digitrubber#DIGITRUBBER_000164,calandar [hsh],A machine that combines a series of hard pressure rollers used to finish or smooth a sheet of rubber material. Constitutes an entity sub-group of the machine entity.
320,digitrubber#DIGITRUBBER_000165,storage robot [hsh],"An automated system that transports good to, within and from storage areas. Constitutes an entity sub-group of the machine entity."
321,digitrubber#DIGITRUBBER_000166,gantry crane [hsh],An overhead crane with a girder configuration supported by freestanding legs that move on wheels to transport goods. Constitutes an entity sub-group of the machine entity.
322,digitrubber#DIGITRUBBER_000167,uniformity grading machine [hsh],A machine that is measures the tire uniformity for complete vehicle wheels and determines the radial and lateral force fluctuations of the rolling wheel. Constitutes an entity sub-group of the machine entity.
323,digitrubber#DIGITRUBBER_000168,forklift [hsh],A powered industrial truck used to lift and move materials over short distances. Constitutes an entity sub-group of the conveyor vehicle entity.
324,digitrubber#DIGITRUBBER_000169,conveyor [hsh],A continuous moving strip or surface that is used for transporting objects between different destinations. Constitutes an entity sub-group of the conveyor vehicle entity.
325,digitrubber#DIGITRUBBER_000170,lift truck [hsh],A small truck for lifting and transporting loads. Constitutes an entity sub-group of the conveyor vehicle entity.
326,digitrubber#DIGITRUBBER_000171,tools [hsh],"An object shaped for repair and installation purposes, with the help of which something is processed or manufactured.Constitutes an entity sub-group of the wear parts entity."
327,digitrubber#DIGITRUBBER_000172,small parts [hsh],A set of small wear parts required to maintain and repair a machine entity. Constitutes an entity sub-group of the wear parts entity.
328,digitrubber#DIGITRUBBER_000173,whole components [hsh],Components required to maintain and repair a machine entity. Constitutes an entity sub-group of the wear parts entity.
329,digitrubber#DIGITRUBBER_000174,lighting [hsh],Equipment that is employed for producing light in the system under investigation. Constitutes an entity sub-group of the building entity.
330,digitrubber#DIGITRUBBER_000175,air conditioning [hsh],Equipment that is employed for cooling and heating in the system under investigation. Constitutes an entity sub-group of the building entity.
331,digitrubber#DIGITRUBBER_000176,office equipment [hsh],Equipment that is employed for managerial purposes in the system under investigation.
332,digitrubber#DIGITRUBBER_000177,narural rubber [hsh],An elastic material obtained from the latex sap of trees. Constitutes an entity sub-group of the raw material entity.
333,digitrubber#DIGITRUBBER_000178,narural rubber [ncti],The natural extract of tropical rubber plants.
334,digitrubber#DIGITRUBBER_000179,Synthetic rubber [hsh],"Any of several substances similar to natural rubber in properties and uses, produced synthetically. Constitutes an entity sub-group of the raw material entity."
335,digitrubber#DIGITRUBBER_000180,filling material [hsh],Material that is required to manipulate the properties of rubber products. Constitutes an entity sub-group of the raw material entity.
336,digitrubber#DIGITRUBBER_000181,reinforcing materials [hsh],"Material that is used to support the structure of rubber based products (e.g., steel cords). Constitutes an entity sub-group of the raw material entity."
337,digitrubber#DIGITRUBBER_000182,plasticizer [hsh],A substance added to a synthetic resin to produce or promote plasticity and flexibility and to reduce brittleness. Constitutes an entity sub-group of the raw material entity.
338,digitrubber#DIGITRUBBER_000183,plasticizer [ncti],A substance added to plastics or other materials to make or keep them soft or pliable.
339,digitrubber#DIGITRUBBER_000184,plasticizer [chebi],"Any compound that is used as an additive to increase the plasticity or fluidity of a substance, particularly but not exclusively to synthetic polymers."
340,digitrubber#DIGITRUBBER_000185,vulcanization chemicals [hsh],Chemicals added to rubber to alter its physical properties. Constitutes an entity sub-group of the raw material entity.
341,digitrubber#DIGITRUBBER_000186,other additives [hsh],Additional substances that are employed to product rubber-based products. Constitutes an entity sub-group of the raw material entity.
342,digitrubber#DIGITRUBBER_000187,Raman spectroscopy [ifnano],"A non-destructive light scattering technique that provides detailed information about the chemical structure upon the interaction of light with the chemical bonds within a material based on periodic changes of polarizabilities, usually manifested as energy loss (gain) with respect to the incident light."
343,digitrubber#DIGITRUBBER_000188,Raman spectroscopy [allotrope],"Any type of vibrational spectroscopy where the Raman scattering of monochromatic light, usually from a laser in the visible, near infrared, or near ultraviolet range by a sample is detected. [CHMO]"
344,digitrubber#DIGITRUBBER_000189,Raman spectroscopy [ncit],Emission of electromagnetic energy with a shorter frequency (longer wavelength) than that of the incident monochromatic light. Arises from the low probability absorption of quanta with a higher energy than that required for a transition: the difference in energy is emitted as a lower frequency (energy) photon. Allows analysis of vibrational and rotational energy levels using visible incident light. [ NCI ]
345,digitrubber#DIGITRUBBER_000190,Spectrum [ifnano],A graph that shows the intensity of radiation at different wavelengths or the response of the atomic or molecular system to different wavelengths of the radiation
346,digitrubber#DIGITRUBBER_000191,Spectrum [allotrope],A spectrum is a data distribution function of a measured quantity in a spectroscopy against some experimental parameter. [Allotrope]
347,digitrubber#DIGITRUBBER_000192,Spectrum [ncit],"An array of entities, such as light waves or particles, ordered in accordance with the magnitudes of a common physical property, such as wavelength or mass."
348,digitrubber#DIGITRUBBER_000193,Raman spectrum [ifnano],"A graph presents a number of peaks, showing the intensity and wavelength position of the Raman scattered light, in which each peak corresponds to a specific molecular bond vibration."
349,digitrubber#DIGITRUBBER_000194,Raman spectrum [allotrope],A plot of intensity vs. Raman shift (cm-1) obtained by measuring the Raman scattering of monochromatic light from a sample. [CHMO]
350,digitrubber#DIGITRUBBER_000195,FTIR spectroscopy [ifnano],Fourier transform infrared involves the probing of matter with infrared radiation. It is based on periodic changes in dipole moments caused by molecular vibrations during the absorption of IR radiation and gives spectroscopic fingerprints.
351,digitrubber#DIGITRUBBER_000196,ATR-FTIR [ifnano],An attenuated total reflection accessory operates by measuring the changes that occur in a totally internally reflected infrared beam when the beam comes into contact with a sample.
352,digitrubber#DIGITRUBBER_000197,Statistical discrimination [ifnano],It arises when groups differ statistically in their distributions on characteristics relevant to a given situation.
353,digitrubber#DIGITRUBBER_000198,Chemometrics [ifnano],"The chemical discipline that uses mathematical and statistical methods, (a) to design or select optimal measurement procedures and experiments, and (b) to provide maximum chemical information by analyzing chemical data."
354,digitrubber#DIGITRUBBER_000199,Raw rubber samples [ifnano],Natural and synthetic rubber materials that are modified and shaped into rubber products through the rubber extrusion process.
355,digitrubber#DIGITRUBBER_000200,Correlation [ifnano],"The degree to which two or more quantities or events are associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others. The collelation can be described by mathematical functions  (often a linear function is used). It’s a common tool for describing simple relationships without making a statement about cause and effect."
356,digitrubber#DIGITRUBBER_000201,Correlation [ncit],"The degree to which two or more quantities or events are linearly associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others."
357,digitrubber#DIGITRUBBER_000202,concentration [ifnano],A quality of a substance in terms of its amount per unit volume in a mixture.
358,digitrubber#DIGITRUBBER_000203,concentration [bwmd],The quantity kind concentration
359,digitrubber#DIGITRUBBER_000204,concentration [allotrope],A concentration (datum) is a quantification facet that quantifies a quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance. [Allotrope]
360,digitrubber#DIGITRUBBER_000205,concentration [ncit],"The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts."
361,digitrubber#DIGITRUBBER_000206,concentration [edam],The concentration of a chemical compound.
362,digitrubber#DIGITRUBBER_000207,concentration [chmo],Experimental method output expressing the contribution of one constituent to the composition of a mixture.
363,digitrubber#DIGITRUBBER_000208,concentration [ecso],the strength of a solution; number of molecules of a substance in a given volume
364,digitrubber#DIGITRUBBER_000209,extrudate [ifnano],Product of the process of Extrusion
365,digitrubber#DIGITRUBBER_000210,extrusion [ifnano],Extrusion is a process used to create objects of a fixed cross-sectional profile by pushing material through a die of the desired cross-section.
366,digitrubber#DIGITRUBBER_000211,extrusion [rex],"A transformation in which an atom or group Y connected to two other atoms or groups X and Z is lost from a molecule, leading to a product in which X is bonded to Z, e.g. X-Y-Z --> X-Z + Y."
367,digitrubber#DIGITRUBBER_000212,extrusion [chmo],A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die.
368,digitrubber#DIGITRUBBER_000213,Laser induced breakdown spectroscopy [ifnano],"Laser induced breakdown spectroscopy is a type of atomic emission spectroscopy which uses a highly energetic laser pulse as the excitation source. The laser is focused to form a plasma, which atomizes and excites samples. The Emission of these excited species is analyzed to identify and quantify the elements contained in the sample."
369,digitrubber#DIGITRUBBER_000214,Laser induced breakdown spectroscopy [chmo],A type of atomic emission spectrometry where a high energy laser pulse is used to generate a plasma which acts as the excitation source.
370,digitrubber#DIGITRUBBER_000215,distribution quality [ifnano],"A quality of a sample in terms of homogenity, or the distribution of concentration of a specific component in a mixture, in a macroscopic body."
371,digitrubber#DIGITRUBBER_000216,peak[ifnano],"In Spectroscopy, peaks are features of a spectrum. A peak comprise a restricted region of a spectrum, which is absorbed or emitted with high intensity. It is defined as a local maximum in the spectrum."
372,digitrubber#DIGITRUBBER_000217,peak [allotrope],A peak describes a part of a data distribution function at a definite range of the experimental parameter (independent variable) of the distribution function. This definition includes a single data point of the distribution function. [Allotrope]
373,digitrubber#DIGITRUBBER_000218,peak [ncit],The most extreme possible amount or value; the highest point.
374,digitrubber#DIGITRUBBER_000219,Classification [ifnano],Is to reliably assign new samples to existing classes in a given population.
375,digitrubber#DIGITRUBBER_000220,peak [ms],"A localized region of relatively large ion signal in a mass spectrum. Although peaks are often associated with particular ions, the terms peak and ion should not be used interchangeably."
376,digitrubber#DIGITRUBBER_000221,raw spectrum [ifnano],Unprocessed data obtained from spectrometric devices
377,digitrubber#DIGITRUBBER_000222,processed spectrum [ifnano],Result of different mathematical processes conducted on raw Spectra. Processing steps include e.g. normalization and baseline correction
378,digitrubber#DIGITRUBBER_000223,principal component analysis [ifnano],Principal component analysis (PCA) is the process of computing the principal components and using them to perform a change of basis on the data.
379,digitrubber#DIGITRUBBER_000224,principal component analysis [ncit],A vector space transform used to reduce the dimensionality in a dataset while retaining those characteristics of the dataset that contribute most to its variance.
